dataset,multiclass,smoke,n_full,n_used,subsampled,split_type,seed,k,model,accuracy,auroc,f1,n_train,n_test,pos_frac_train,pos_frac_test,target_test_frac
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,0,6,RF,0.8175935288169869,0.9190433485626052,0.8372428726091664,14829,4945,0.5502731134938297,0.550252780586451,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,1,4,LR,0.8185858585858586,0.8912619707246812,0.825833979829325,14824,4950,0.5504587155963303,0.5496969696969697,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,1,4,RF,0.816969696969697,0.8998773146533723,0.8259031514219831,14824,4950,0.5504587155963303,0.5496969696969697,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,1,6,LR,0.8298989898989899,0.9069688607410024,0.8404094010614102,14824,4950,0.5504587155963303,0.5496969696969697,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,1,6,RF,0.8276767676767677,0.9220906005151762,0.8443146559591166,14824,4950,0.5504587155963303,0.5496969696969697,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,2,4,LR,0.8188068756319514,0.8914902807632615,0.8280890253261703,14829,4945,0.5502731134938297,0.550252780586451,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,2,4,RF,0.819211324570273,0.9040210499736925,0.8297791317593298,14829,4945,0.5502731134938297,0.550252780586451,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,2,6,LR,0.8345803842264914,0.9082090997543751,0.845251608021188,14829,4945,0.5502731134938297,0.550252780586451,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology_droplargest@0.7,2,6,RF,0.8321536905965622,0.9240073211552038,0.8506119510439165,14829,4945,0.5502731134938297,0.550252780586451,0.25005
human_enhancers_cohn,False,False,27791,20000,True,original,-1,4,LR,0.731,0.80856752,0.7276776675440373,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,original,-1,4,RF,0.7012,0.7835984,0.6995172968624296,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,original,-1,6,LR,0.7362,0.8103065599999999,0.7320739386552915,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,original,-1,6,RF,0.6934,0.77280704,0.6865671641791045,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,0,4,LR,0.7298,0.80765856,0.7243419710263211,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,0,4,RF,0.6992,0.7796523200000001,0.6968964127367997,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,0,6,LR,0.7256,0.8087390399999999,0.72,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,0,6,RF,0.685,0.7642938399999999,0.6750567361254384,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,1,4,LR,0.7304,0.8100972799999999,0.7276767676767677,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,1,4,RF,0.7096,0.78918808,0.7092511013215859,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,1,6,LR,0.7402,0.81568992,0.735921935352714,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,1,6,RF,0.6994,0.7718352,0.6940769387339711,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,2,4,LR,0.7298,0.80842704,0.7232124564638394,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,2,4,RF,0.7042,0.7802004,0.6964908680484301,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,2,6,LR,0.7334,0.8097177600000001,0.7262271513657835,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,random,2,6,RF,0.695,0.7696168,0.6860201770640313,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,0,4,LR,0.7324,0.8141020800000001,0.726827276439363,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,0,4,RF,0.7074,0.78941384,0.7033056175218009,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,0,6,LR,0.7392,0.8186808000000001,0.733005733005733,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,0,6,RF,0.699,0.7718717599999999,0.688212140045577,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,1,4,LR,0.7424,0.8197708800000001,0.7415730337078652,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,1,4,RF,0.7182,0.79539184,0.7210453375569195,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,1,6,LR,0.744,0.8221859200000001,0.7447147985640208,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,1,6,RF,0.7052,0.78146976,0.7000407000407001,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,2,4,LR,0.7392,0.8205710399999999,0.7354969574036511,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,2,4,RF,0.7124,0.79531136,0.7099636950383219,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,2,6,LR,0.7418,0.82197328,0.7381869803285338,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.5,2,6,RF,0.6988,0.7769058400000001,0.6910135412392285,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,0,4,LR,0.726,0.8069790400000001,0.7221095334685599,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,0,4,RF,0.7072,0.78390048,0.7044812272910779,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,0,6,LR,0.7378,0.8144614400000001,0.7318470034771937,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,0,6,RF,0.6974,0.77229712,0.6925421662263768,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,1,4,LR,0.7394,0.8142281599999999,0.7351087619434844,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,1,4,RF,0.7128,0.78699984,0.7093117408906883,15000,5000,0.5,0.5,0.25
