dataset,scale,n_used,split_type,seed,k,model,accuracy,auroc,f1
human_ocr_ensembl,subsample,20000,random,2,6,RF,0.64625,0.7018868749999999,0.6592824464242716
human_ocr_ensembl,subsample,20000,random,2,6,HGB,0.65675,0.7388212500000001,0.6663426488456865
human_ocr_ensembl,subsample,20000,homology@0.7,0,6,LR,0.6710822294426393,0.7412263868065967,0.6755424063116371
human_ocr_ensembl,subsample,20000,homology@0.7,0,6,LinearSVC,0.6688327918020495,0.7284455272363817,0.6675031367628608
human_ocr_ensembl,subsample,20000,homology@0.7,0,6,RF,0.6425893526618346,0.706645552223888,0.6470878578479763
human_ocr_ensembl,subsample,20000,homology@0.7,0,6,HGB,0.6560859785053736,0.7320322338830585,0.6635696821515893
human_ocr_ensembl,subsample,20000,homology@0.7,1,6,LR,0.6738315421144714,0.7434215392303848,0.6781750924784217
human_ocr_ensembl,subsample,20000,homology@0.7,1,6,LinearSVC,0.6670832291927018,0.7305112443778111,0.6683266932270916
human_ocr_ensembl,subsample,20000,homology@0.7,1,6,RF,0.6375906023494127,0.6961830334832584,0.647887323943662
human_ocr_ensembl,subsample,20000,homology@0.7,1,6,HGB,0.6655836040989752,0.7280707146426787,0.6746108949416343
human_ocr_ensembl,subsample,20000,homology@0.7,2,6,LR,0.6745813546613346,0.7422886056971514,0.6753117206982544
human_ocr_ensembl,subsample,20000,homology@0.7,2,6,LinearSVC,0.6668332916770807,0.7269485257371314,0.6627877561345813
human_ocr_ensembl,subsample,20000,homology@0.7,2,6,RF,0.6570857285678581,0.7118645677161419,0.668759053597296
human_ocr_ensembl,subsample,20000,homology@0.7,2,6,HGB,0.6613346663334166,0.7267066466766617,0.6674846625766871
demo_human_or_worm,subsample,20000,original,-1,4,LR,0.9278,0.97946304,0.9273203140728811
demo_human_or_worm,subsample,20000,original,-1,4,LinearSVC,0.9296,0.9807283200000001,0.9292320064334539
demo_human_or_worm,subsample,20000,original,-1,4,RF,0.9306,0.98195544,0.9309452736318408
demo_human_or_worm,subsample,20000,original,-1,4,HGB,0.9402,0.9862259200000001,0.9402119576084783
demo_human_or_worm,subsample,20000,random,0,4,LR,0.9348,0.9820955199999999,0.9341414141414142
demo_human_or_worm,subsample,20000,random,0,4,LinearSVC,0.9398,0.98342816,0.9392287502523723
demo_human_or_worm,subsample,20000,random,0,4,RF,0.9384,0.98461232,0.9385474860335196
demo_human_or_worm,subsample,20000,random,0,4,HGB,0.947,0.98833216,0.9468191852297813
demo_human_or_worm,subsample,20000,random,1,4,LR,0.9382,0.98366992,0.9376387487386478
demo_human_or_worm,subsample,20000,random,1,4,LinearSVC,0.94,0.9850419199999999,0.9395892066049134
demo_human_or_worm,subsample,20000,random,1,4,RF,0.9326,0.98167184,0.9332805385072263
demo_human_or_worm,subsample,20000,random,1,4,HGB,0.9436,0.9876254400000001,0.94377990430622
demo_human_or_worm,subsample,20000,random,2,4,LR,0.9394,0.98379136,0.9388249545729861
demo_human_or_worm,subsample,20000,random,2,4,LinearSVC,0.9414,0.9850547200000002,0.9408200363562916
demo_human_or_worm,subsample,20000,random,2,4,RF,0.9368,0.9850750399999999,0.9370517928286852
demo_human_or_worm,subsample,20000,random,2,4,HGB,0.9502,0.98975136,0.9500301023479831
demo_human_or_worm,subsample,20000,homology@0.7,0,4,LR,0.9358,0.9817299199999999,0.9350859453993934
demo_human_or_worm,subsample,20000,homology@0.7,0,4,LinearSVC,0.9364,0.98304832,0.93578352180937
demo_human_or_worm,subsample,20000,homology@0.7,0,4,RF,0.9364,0.9831346400000001,0.9364762285257691
demo_human_or_worm,subsample,20000,homology@0.7,0,4,HGB,0.9454,0.9874961600000001,0.9451476793248945
demo_human_or_worm,subsample,20000,homology@0.7,1,4,LR,0.939,0.98258288,0.9382466086252278
demo_human_or_worm,subsample,20000,homology@0.7,1,4,LinearSVC,0.9374,0.98363728,0.9364467005076142
demo_human_or_worm,subsample,20000,homology@0.7,1,4,RF,0.9348,0.9841254399999999,0.9346693386773547
demo_human_or_worm,subsample,20000,homology@0.7,1,4,HGB,0.9488,0.9889089600000001,0.9483870967741935
demo_human_or_worm,subsample,20000,homology@0.7,2,4,LR,0.9358,0.9826633600000001,0.9357871574314863
demo_human_or_worm,subsample,20000,homology@0.7,2,4,LinearSVC,0.9428,0.98391584,0.9427542033626901
demo_human_or_worm,subsample,20000,homology@0.7,2,4,RF,0.94,0.98377008,0.9405469678953626
demo_human_or_worm,subsample,20000,homology@0.7,2,4,HGB,0.9484,0.9875048,0.9484824281150159
demo_human_or_worm,subsample,20000,original,-1,6,LR,0.9374,0.9840331200000001,0.9365240316365848
