dataset,n_used,split_type,seed,k,model,accuracy,auroc,f1
human_nontata_promoters,36131,homology@0.7,1,4,LR,0.8107360265633647,0.8794832575468896,0.8183556405353728
human_nontata_promoters,36131,homology@0.7,1,4,RF,0.8050913115661317,0.8887727514894066,0.8246539878522354
human_nontata_promoters,36131,homology@0.7,1,6,LR,0.8180409518539015,0.8976058279212153,0.8323817292006526
human_nontata_promoters,36131,homology@0.7,1,6,RF,0.8088544548976203,0.9178517373002643,0.83818982479153
human_nontata_promoters,36131,homology@0.7,2,4,LR,0.8202831232028313,0.8922896419419688,0.8250995587127328
human_nontata_promoters,36131,homology@0.7,2,4,RF,0.8056845830568459,0.894850403896464,0.8238596491228071
human_nontata_promoters,36131,homology@0.7,2,6,LR,0.8424021234240212,0.9119578773121844,0.8517632372828462
human_nontata_promoters,36131,homology@0.7,2,6,RF,0.8041362530413625,0.9187482522667779,0.8334117204402219
human_enhancers_ensembl,154842,original,-1,4,LR,0.7337100419761059,0.8020309278855693,0.7353762233274507
human_enhancers_ensembl,154842,original,-1,4,RF,0.8461091378753632,0.93980015866282,0.8526738794435857
human_enhancers_ensembl,154842,original,-1,6,LR,0.7809493057797869,0.8572588365275633,0.7811895239323958
human_enhancers_ensembl,154842,original,-1,6,RF,0.8556344849854698,0.9428419244763726,0.8606166412070955
human_enhancers_ensembl,154842,random,0,4,LR,0.7394575395544075,0.8109888818212214,0.7389771293630512
human_enhancers_ensembl,154842,random,0,4,RF,0.8511462705844366,0.9434805835096802,0.8574608867726177
human_enhancers_ensembl,154842,random,0,6,LR,0.7827575072650953,0.8599724211531381,0.7823921340319555
human_enhancers_ensembl,154842,random,0,6,RF,0.8613819825637714,0.9463668726878397,0.8656800475579612
human_enhancers_ensembl,154842,random,1,4,LR,0.7358088472715532,0.8056992564908868,0.7372679982017853
human_enhancers_ensembl,154842,random,1,4,RF,0.8477558927994834,0.9402205140037299,0.8544258853314397
human_enhancers_ensembl,154842,random,1,6,LR,0.7810138844042622,0.8583089262484792,0.780985597106504
human_enhancers_ensembl,154842,random,1,6,RF,0.8551178559896674,0.9429187286247516,0.8600480334362621
human_enhancers_ensembl,154842,random,2,4,LR,0.7376493380690992,0.8070429110050462,0.7392574050896955
human_enhancers_ensembl,154842,random,2,4,RF,0.8466903454956409,0.9413336893463724,0.8531213264864196
human_enhancers_ensembl,154842,random,2,6,LR,0.7791411042944786,0.8570480312120983,0.7795397408625024
human_enhancers_ensembl,154842,random,2,6,RF,0.8565708750403617,0.9449852842267491,0.8611093740228879
human_enhancers_ensembl,154842,homology@0.7,0,4,LR,0.7404346001097801,0.8060281229873651,0.7414364285484545
human_enhancers_ensembl,154842,homology@0.7,0,4,RF,0.695360175648187,0.7893163513644152,0.6459263706983901
human_enhancers_ensembl,154842,homology@0.7,0,6,LR,0.7805689193116141,0.8549071988105723,0.7791642295444207
human_enhancers_ensembl,154842,homology@0.7,0,6,RF,0.6999128216718866,0.8047274178493009,0.6462393422655298
human_enhancers_ensembl,154842,homology@0.7,1,4,LR,0.7379806916147363,0.8072085864306728,0.7391597827135097
human_enhancers_ensembl,154842,homology@0.7,1,4,RF,0.6955216169965451,0.79040342836378,0.6467900217244738
human_enhancers_ensembl,154842,homology@0.7,1,6,LR,0.7764360207936457,0.8541365143694958,0.7757336270000648
human_enhancers_ensembl,154842,homology@0.7,1,6,RF,0.7023344418972587,0.8060249180267163,0.6504379479012626
human_enhancers_ensembl,154842,homology@0.7,2,4,LR,0.736568513496061,0.805538401792703,0.7384516749479083
human_enhancers_ensembl,154842,homology@0.7,2,4,RF,0.689235438460545,0.7822593705903598,0.6408180020151509
human_enhancers_ensembl,154842,homology@0.7,2,6,LR,0.7757974945111714,0.8535125487588541,0.7751295336787565
human_enhancers_ensembl,154842,homology@0.7,2,6,RF,0.6973072452537776,0.798442775674688,0.6453833642243825
demo_coding_vs_intergenomic_seqs,100000,original,-1,4,LR,0.8836,0.9528433728,0.884734215321239
demo_coding_vs_intergenomic_seqs,100000,original,-1,4,RF,0.87652,0.9486560991999999,0.8782200481281313
demo_coding_vs_intergenomic_seqs,100000,original,-1,6,LR,0.90032,0.9642605504,0.900359856057577
demo_coding_vs_intergenomic_seqs,100000,original,-1,6,RF,0.86316,0.9437469632000001,0.8647558806088159
demo_coding_vs_intergenomic_seqs,100000,random,0,4,LR,0.88472,0.9533255679999999,0.886014871064705
demo_coding_vs_intergenomic_seqs,100000,random,0,4,RF,0.87596,0.9480822976,0.8779950426879648
demo_coding_vs_intergenomic_seqs,100000,random,0,6,LR,0.90432,0.9657738752,0.9044652128764278
demo_coding_vs_intergenomic_seqs,100000,random,0,6,RF,0.86672,0.9448054879999999,0.868300395256917
demo_coding_vs_intergenomic_seqs,100000,random,1,4,LR,0.885,0.9529374336,0.8860257680872151
demo_coding_vs_intergenomic_seqs,100000,random,1,4,RF,0.8774,0.9478617152000001,0.8793354592338885
demo_coding_vs_intergenomic_seqs,100000,random,1,6,LR,0.90228,0.9639836992000002,0.9026576881699008
demo_coding_vs_intergenomic_seqs,100000,random,1,6,RF,0.86784,0.9451343168000002,0.869757174392936
demo_coding_vs_intergenomic_seqs,100000,random,2,4,LR,0.88204,0.9528000383999999,0.8832032951800072
demo_coding_vs_intergenomic_seqs,100000,random,2,4,RF,0.87512,0.9467082848,0.8769218639123236
